Year,spread_€/t,ETS_price_€/tCO2,SAF_LCA_reduction,SAF_Share_%,Extra_cost_€,Avoided_CO2_Mt_LCA,Cost_per_tCO2_€/t
2040,1200,100,0.75,42.666666666666664,18984358208.41355,50.6785833529684,374.6031746031744
2040,1200,100,0.9,42.666666666666664,18984358208.41355,60.81430002356208,312.16931216931204
2040,1200,150,0.6,42.666666666666664,15605785984.882324,40.54286668237472,384.92063492063465
2040,1200,150,0.75,42.666666666666664,15605785984.882324,50.6785833529684,307.9365079365078
2040,1200,150,0.9,42.666666666666664,15605785984.882324,60.81430002356208,256.6137566137565
2050,600,50,0.6,80.0,20859518322.549408,89.09489181834661,234.12698412698418
2050,600,50,0.75,80.0,20859518322.549408,111.36861477293328,187.3015873015873
2050,600,50,0.9,80.0,20859518322.549408,133.64233772751993,156.0846560846561
2050,600,100,0.6,80.0,13434944004.353836,89.09489181834661,150.7936507936506
2050,600,100,0.75,80.0,13434944004.353836,111.36861477293328,120.63492063492045
2050,600,100,0.9,80.0,13434944004.353836,133.64233772751993,100.52910052910039
2050,600,150,0.6,80.0,6010369686.158295,89.09489181834661,67.46031746031737
2050,600,150,0.75,80.0,6010369686.158295,111.36861477293328,53.96825396825388
2050,600,150,0.9,80.0,6010369686.158295,133.64233772751993,44.973544973544904
2050,900,50,0.6,80.0,35001564642.921875,89.09489181834661,392.8571428571428
2050,900,50,0.75,80.0,35001564642.921875,111.36861477293328,314.28571428571416
2050,900,50,0.9,80.0,35001564642.921875,133.64233772751993,261.9047619047618
2050,900,100,0.6,80.0,27576990324.72632,89.09489181834661,309.5238095238094
2050,900,100,0.75,80.0,27576990324.72632,111.36861477293328,247.61904761904745
2050,900,100,0.9,80.0,27576990324.72632,133.64233772751993,206.34920634920624
2050,900,150,0.6,80.0,20152416006.530777,89.09489181834661,226.19047619047615
2050,900,150,0.75,80.0,20152416006.530777,111.36861477293328,180.95238095238088
2050,900,150,0.9,80.0,20152416006.530777,133.64233772751993,150.79365079365076
2050,1200,50,0.6,80.0,49143610963.29436,89.09489181834661,551.5873015873016
2050,1200,50,0.75,80.0,49143610963.29436,111.36861477293328,441.26984126984115
2050,1200,50,0.9,80.0,49143610963.29436,133.64233772751993,367.72486772486764
